                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9174,                   4.91,                 1.6449,                      0,                      0,                      0,                      0,                 1.6095,                 4.7805,                 1.3944,               3.45e-06,               3.45e-06,               3.45e-06
                      1,                  1.971,                 4.9726,                 1.6099,                      0,                      0,                      0,                      0,                 1.5874,                  4.781,                 1.3857,             1.0248e-05,             1.0248e-05,             1.0248e-05
                      2,                 1.9006,                 4.8505,                 1.6573,                      0,                      0,                      0,                      0,                  1.555,                 4.7744,                 1.3734,             1.6908e-05,             1.6908e-05,             1.6908e-05
                      3,                 1.8694,                 4.9156,                 1.5682,                      0,                      0,                      0,                      0,                 1.5141,                 4.7583,                 1.3472,             2.3433e-05,             2.3433e-05,             2.3433e-05
                      4,                 1.7988,                 4.9119,                 1.5648,                      0,                      0,                      0,                      0,                  1.483,                 4.7357,                 1.3196,              2.982e-05,              2.982e-05,              2.982e-05
                      5,                 1.7574,                 4.8717,                 1.5053,                      0,                      0,                      0,                      0,                  1.449,                 4.7096,                 1.2856,             3.6071e-05,             3.6071e-05,             3.6071e-05
                      6,                 1.6401,                 4.7479,                 1.4536,                      0,                      0,                      0,                      0,                 1.4228,                  4.676,                 1.2503,             4.2186e-05,             4.2186e-05,             4.2186e-05
                      7,                 1.5807,                 4.7215,                 1.3993,                      0,                      0,                      0,                      0,                 1.3976,                 4.6451,                  1.218,             4.8164e-05,             4.8164e-05,             4.8164e-05
                      8,                 1.6546,                  4.676,                 1.4395,                      0,                      0,                      0,                      0,                 1.3949,                 4.6317,                 1.2054,             5.4005e-05,             5.4005e-05,             5.4005e-05
                      9,                 1.6284,                 4.6527,                 1.3852,                      0,                      0,                      0,                      0,                 1.3903,                 4.6208,                 1.1936,             5.9709e-05,             5.9709e-05,             5.9709e-05
                     10,                 1.6435,                 4.6182,                 1.3823,                      0,                      0,                      0,                      0,                 1.3881,                 4.6067,                 1.1797,             6.5277e-05,             6.5277e-05,             6.5277e-05
                     11,                  1.605,                 4.5886,                 1.3566,                      0,                      0,                      0,                      0,                 1.3836,                 4.5896,                 1.1672,             7.0709e-05,             7.0709e-05,             7.0709e-05
                     12,                 1.5424,                    4.5,                 1.3579,                      0,                      0,                      0,                      0,                  1.369,                 4.5667,                 1.1541,             7.6003e-05,             7.6003e-05,             7.6003e-05
                     13,                 1.6004,                 4.4744,                 1.3189,                      0,                      0,                      0,                      0,                  1.361,                  4.545,                 1.1401,             8.1162e-05,             8.1162e-05,             8.1162e-05
                     14,                 1.5875,                 4.3262,                 1.3231,                      0,                      0,                      0,                      0,                 1.3635,                 4.5264,                 1.1338,             8.6183e-05,             8.6183e-05,             8.6183e-05
                     15,                 1.5489,                 4.3148,                 1.3023,                   0.04,                0.01419,                 0.0271,                0.02232,                 1.3697,                 4.5053,                 1.1325,             9.1068e-05,             9.1068e-05,             9.1068e-05
                     16,                 1.5571,                 4.2186,                 1.2864,                   0.04,                0.02839,                0.03419,                0.02681,                 1.3653,                 4.4831,                 1.1288,             9.5816e-05,             9.5816e-05,             9.5816e-05
                     17,                 1.5006,                 4.1449,                 1.2522,                0.05627,                0.03731,                0.04681,                0.03541,                 1.3674,                 4.4652,                 1.1292,             0.00010043,             0.00010043,             0.00010043
                     18,                 1.5037,                 4.0317,                 1.2244,                0.05556,                0.06945,                0.05943,                0.04455,                 1.3545,                 4.4448,                 1.1288,              0.0001049,              0.0001049,              0.0001049
                     19,                 1.5283,                 4.0084,                 1.2665,                0.04526,                0.08656,                0.06143,                 0.0442,                 1.3301,                 4.4175,                 1.1216,             0.00010924,             0.00010924,             0.00010924
                     20,                 1.5348,                 3.9224,                 1.2835,                0.03697,                0.09639,                0.06204,                0.04327,                 1.3132,                 4.3787,                 1.1204,             0.00011344,             0.00011344,             0.00011344
                     21,                 1.5557,                 3.8361,                 1.2862,                0.04677,                0.11666,                0.07928,                0.05692,                 1.2952,                 4.3404,                 1.1144,             0.00011751,             0.00011751,             0.00011751
                     22,                 1.5622,                 3.6724,                  1.262,                0.03656,                 0.1247,                0.07907,                 0.0574,                 1.2836,                  4.293,                 1.1161,             0.00012144,             0.00012144,             0.00012144
                     23,                  1.554,                 3.6985,                 1.2735,                0.03016,                0.13026,                0.08302,                0.06122,                 1.2881,                 4.2358,                  1.122,             0.00012523,             0.00012523,             0.00012523
                     24,                 1.5638,                 3.4728,                 1.2563,                0.02682,                0.13598,                0.08569,                0.06286,                 1.2892,                 4.1703,                 1.1255,             0.00012888,             0.00012888,             0.00012888
                     25,                 1.5239,                 3.4447,                 1.2787,                0.02451,                0.13897,                0.08638,                0.06282,                  1.293,                 4.0979,                 1.1361,              0.0001324,              0.0001324,              0.0001324
                     26,                 1.5729,                  3.316,                 1.2524,                0.68877,                0.06927,                0.08795,                0.06539,                 1.2883,                 3.9984,                 1.1385,             0.00013578,             0.00013578,             0.00013578
                     27,                 1.5618,                 3.3101,                 1.2628,                0.68877,                0.06927,                0.08795,                0.06539,                 1.2883,                 3.9984,                 1.1385,             0.00013903,             0.00013903,             0.00013903
                     28,                 1.4599,                 3.2216,                 1.2215,                0.78063,                0.03717,                0.09119,                0.06722,                 1.2819,                 3.9055,                 1.1395,             0.00014214,             0.00014214,             0.00014214
                     29,                 1.4757,                 3.2332,                 1.2263,                0.82093,                0.04632,                0.09023,                 0.0666,                 1.2889,                 3.8151,                 1.1462,             0.00014511,             0.00014511,             0.00014511
